bank,hand_class,entry_mass,deals,average_deals_per_update,zero_sample_updates,modal_switches,final_current_vs_played_average_tv
first-old,160,0.00287664555405943,113,1.4487179487179487,17,6,0.3626756136371123
first-old,161,0.0028655407057624678,109,1.3974358974358974,22,12,0.3900068086451069
first-old,162,0.002854096463089066,131,1.6794871794871795,14,6,0.2888899102761079
first-old,163,0.0028322345637362746,95,1.2179487179487178,23,10,0.40270170136229094
first-old,164,0.0028186729016320797,132,1.6923076923076923,11,4,0.09452106486588376
first-old,165,0.0028122821203068987,124,1.5897435897435896,19,3,0.6697191409988608
first-old,166,0.002782065810743854,133,1.705128205128205,15,2,0.0057718476560751734
first-old,167,0.002752040727766573,121,1.5512820512820513,18,2,0.001054762873603821
first-old,168,0.003972108648688113,146,1.8717948717948718,12,2,0.004829949057161843
first-new,0,0.004790793724696479,185,2.371794871794872,5,1,0.015761676784296845
first-new,1,0.009512847260521819,394,5.051282051282051,1,8,0.23978457439746975
first-new,2,0.009506641694301852,398,5.102564102564102,0,4,0.46991048872675245
first-new,3,0.009429105229310572,373,4.782051282051282,0,4,0.17078444988714853
first-new,4,0.009429352148007004,346,4.435897435897436,0,10,0.09735812994634609
first-new,5,0.009396037340559372,376,4.82051282051282,0,2,0.22144278924126015
first-new,6,0.009361703242193552,380,4.871794871794871,1,2,0.006851897195943082
first-new,7,0.009296117200453959,418,5.358974358974359,1,1,0.2149388537834766
first-new,8,0.009255431872587724,356,4.564102564102564,0,9,0.3161142919604874
first-new,9,0.009236259296157876,372,4.769230769230769,0,4,0.4557888242738479
first-new,10,0.009145610283355409,386,4.948717948717949,1,6,0.03961232652472867
first-new,11,0.009055534566697113,380,4.871794871794871,2,5,0.39754568915831284
first-new,12,0.008750471453727546,365,4.67948717948718,0,1,0.1957620426871856
first-new,13,0.00317094900525911,113,1.4487179487179487,21,3,0.042459937672987315
first-new,14,0.00474131789843658,182,2.3333333333333335,4,5,0.001377672953960496
first-new,15,0.009457166113881007,371,4.756410256410256,1,2,0.011178796435552666
first-new,16,0.009379629648889725,370,4.743589743589744,1,1,0.0005996415498817762
first-new,17,0.00937987656758616,363,4.653846153846154,0,5,0.1293563180415107
first-new,18,0.009346561760138525,395,5.064102564102564,0,0,0.006933384064993
first-new,19,0.009312227661772707,382,4.897435897435898,0,8,0.12833462606764842
first-new,20,0.009246641620033112,362,4.641025641025641,1,2,0.016146146055692884
first-new,21,0.009205956292166879,370,4.743589743589744,0,0,0.22479579274705777
first-new,22,0.00918678371573703,344,4.410256410256411,1,2,0.14326187773290042
first-new,23,0.009096134702934562,400,5.128205128205129,0,4,0.5619841343868729
first-new,24,0.009006058986276266,373,4.782051282051282,0,5,0.09254105001989721
first-new,25,0.00871117416475761,356,4.564102564102564,3,11,0.24362742330954335
first-new,26,0.0031688804832390063,121,1.5512820512820513,15,0,0.002688252287047816
first-new,27,0.0031523886235230235,125,1.6025641025641026,14,7,0.07533069842650345
first-new,28,0.004735112089351418,206,2.641025641025641,6,5,0.3136465459705823
first-new,29,0.00937342408266976,421,5.397435897435898,0,15,0.1040512718689296
