bank,hand_class,entry_mass,deals,average_deals_per_update,zero_sample_updates,modal_switches,final_current_vs_played_average_tv
first-new,82,0.0030826649524687264,120,1.5384615384615385,18,0,0.0004268199681916001
first-new,83,0.003071559958948295,119,1.5256410256410255,17,6,0.038638512628565366
first-new,84,0.004590173593626515,170,2.1794871794871793,4,2,0.002602522491668781
first-new,85,0.009095536099493505,369,4.730769230769231,2,5,0.016321890922979063
first-new,86,0.009054823459607524,375,4.8076923076923075,1,4,0.22604128106047114
first-new,87,0.009035639697408766,367,4.705128205128205,1,11,0.08943388496695497
first-new,88,0.008944991632856244,352,4.512820512820513,1,3,0.10727836052093374
first-new,89,0.008870288926542031,363,4.653846153846154,0,7,0.02038286131459069
first-new,90,0.008562270572889864,335,4.294871794871795,2,1,0.00042419777702227445
first-new,91,0.0030987056537618175,111,1.4230769230769231,16,0,0.003704290152441898
first-new,92,0.003082213794045835,118,1.5128205128205128,15,7,0.21272762921470215
first-new,93,0.003080145272025731,140,1.794871794871795,17,2,0.006590079785546488
first-new,94,0.0030551849830528464,130,1.6666666666666667,17,4,0.47326602554787617
first-new,95,0.003060802798850952,115,1.4743589743589745,16,3,0.03576124054972293
first-new,96,0.0030496971044909785,115,1.4743589743589745,15,3,0.00588848644344188
first-new,97,0.003038252900973393,129,1.6538461538461537,16,4,0.014562163404835297
first-new,98,0.004524587518183176,202,2.58974358974359,4,6,0.39742691327823065
first-new,99,0.008989226232099018,333,4.269230769230769,1,5,0.1719557026436918
first-new,100,0.00897005864301116,387,4.961538461538462,2,9,0.12033998104673486
first-new,101,0.008897074213832389,368,4.717948717948718,0,2,0.011904560163883865
first-new,102,0.008808510962475227,362,4.641025641025641,1,1,0.035927068603673507
first-new,103,0.00849669870654732,305,3.91025641025641,1,2,0.002864883318525517
first-new,104,0.003085143878155321,135,1.7307692307692308,18,4,0.052072873161543395
first-new,105,0.003068652018439338,117,1.5,18,3,0.08211465865350304
first-new,106,0.003066583496419234,129,1.6538461538461537,12,4,0.020723586837627577
first-new,107,0.003040740248649781,115,1.4743589743589745,19,2,0.004461241984340272
first-new,108,0.0030408203149837813,116,1.4871794871794872,12,1,0.10043558036604049
first-new,109,0.0030361325646821274,122,1.564102564102564,16,10,0.17254828742654849
first-new,110,0.003024691110993242,135,1.7307692307692308,15,4,0.18534097109573464
first-new,111,0.003002829561068935,114,1.4615384615384615,15,1,0.007532179937958604
first-new,112,0.004483901867157541,144,1.8461538461538463,12,2,0.06667663102703057
first-new,113,0.008948627684417313,361,4.628205128205129,0,1,0.15504866973403225
first-new,114,0.008857952729646955,369,4.730769230769231,0,6,0.30368640999802055
first-new,115,0.008767899905759253,343,4.397435897435898,0,2,0.0025696491322073868
first-new,116,0.008456018424329408,338,4.333333333333333,2,7,0.24110187895917334
first-new,117,0.003078753019509794,110,1.4102564102564104,15,2,0.017706316704534587
first-new,118,0.0030622611597938116,142,1.8205128205128205,12,1,0.0005555629695306274
first-new,119,0.0030601926377737078,112,1.435897435897436,22,6,0.3199101983362444
first-new,120,0.003040739542766197,122,1.564102564102564,16,6,0.32213854472766007
first-new,121,0.0030344294563382545,123,1.5769230769230769,16,7,0.06072336212161272
first-new,122,0.0030297342847703562,129,1.6538461538461537,15,4,0.2508083213306549
first-new,123,0.0030183005204907085,115,1.4743589743589745,22,5,0.1252881307641007
first-new,124,0.00299643869350183,110,1.4102564102564104,19,3,0.002828489266480151
first-new,125,0.002982874835202435,140,1.794871794871795,13,2,0.252582506235493
first-new,126,0.004464729101391971,156,2.0,10,5,0.29859233245293126
first-new,127,0.008838791741356376,311,3.9871794871794872,0,5,0.10753514794329122
first-new,128,0.008748729593427788,323,4.141025641025641,2,10,0.12452924066916086
first-new,129,0.008436846232518724,316,4.051282051282051,4,2,0.007387872069428138
first-new,130,0.003048589629748466,111,1.4230769230769231,19,10,0.1618895161131484
first-new,131,0.0030383263451918183,117,1.5,16,1,0.005711664141303379
first-new,132,0.0030300838891443495,142,1.8205128205128205,11,7,0.3577287396829373
first-new,133,0.003010523121683423,121,1.5512820512820513,16,2,0.34427594402495765
first-new,134,0.0030106108780065255,126,1.6153846153846154,19,8,0.18725547920534683
first-new,135,0.002999247818911184,108,1.3846153846153846,15,3,0.02982313433163416
first-new,136,0.0029880834387154944,130,1.6666666666666667,17,1,0.008619605841589679
first-new,137,0.0029662224032688716,126,1.6153846153846154,16,3,0.10436915289523938
first-new,138,0.0029526608655711306,117,1.5,21,3,0.3042780284586267
first-new,139,0.0029462700089081767,121,1.5512820512820513,16,5,0.17208087013237755
first-new,140,0.004374080308655107,161,2.0641025641025643,11,4,0.09246598539159052
first-new,141,0.008658085069170625,364,4.666666666666667,0,10,0.17671646791831122
first-new,142,0.008346197677690622,324,4.153846153846154,1,6,0.10765661616316524
first-new,143,0.0030248961572387077,123,1.5769230769230769,18,12,0.2927256847914381
first-new,144,0.003008434522343193,142,1.8205128205128205,6,2,0.46516041455462287
first-new,145,0.0030063569944854033,135,1.7307692307692308,15,3,0.00887289666249816
first-new,146,0.002980524350918867,129,1.6538461538461537,18,8,0.1331403224668684
