bank_difference,native_class,hand,entry_mass,contrast,count,mean_bb,paired_descriptive_se_bb
repeat-new minus first-new,156,A2s,0.0029209535351987642,raise_minus_fold,189,-6.791036014606955,3.1618011380006665
repeat-new minus first-new,156,A2s,0.0029209535351987642,raise_minus_call,189,-7.746196464272649,3.1349255565792946
repeat-new minus first-new,157,A3s,0.002904478032205372,call_minus_fold,187,-0.2664931542146497,0.7719397775064121
repeat-new minus first-new,157,A3s,0.002904478032205372,raise_minus_fold,187,-2.9141770730825556,1.9540400014165276
repeat-new minus first-new,157,A3s,0.002904478032205372,raise_minus_call,187,-2.647683918867906,1.8516941432994756
repeat-new minus first-new,158,A4s,0.0029024088276845255,call_minus_fold,178,0.6045934153709789,0.7640407554291769
repeat-new minus first-new,158,A4s,0.0029024088276845255,raise_minus_fold,178,-6.366960441815661,2.9305173843837733
repeat-new minus first-new,158,A4s,0.0029024088276845255,raise_minus_call,178,-6.971553857186642,2.8664296134303866
repeat-new minus first-new,159,A5s,0.0028765640116156376,call_minus_fold,196,0.6379843991069545,0.8265671958154901
repeat-new minus first-new,159,A5s,0.0028765640116156376,raise_minus_fold,196,2.1977216458986684,1.419294172451487
repeat-new minus first-new,159,A5s,0.0028765640116156376,raise_minus_call,196,1.559737246791714,1.4719249749906416
repeat-new minus first-new,160,A6s,0.00287664555405943,call_minus_fold,169,-1.5800224566365215,0.7488250489273864
repeat-new minus first-new,160,A6s,0.00287664555405943,raise_minus_fold,169,2.6937073939086753,2.488016229951347
repeat-new minus first-new,160,A6s,0.00287664555405943,raise_minus_call,169,4.273729850545196,2.6813962885835227
repeat-new minus first-new,161,A7s,0.0028655407057624678,call_minus_fold,193,-0.2368714467453014,0.7431749297235123
repeat-new minus first-new,161,A7s,0.0028655407057624678,raise_minus_fold,193,2.462637141620876,2.2659855756256286
repeat-new minus first-new,161,A7s,0.0028655407057624678,raise_minus_call,193,2.6995085883661774,2.244054129888464
repeat-new minus first-new,162,A8s,0.002854096463089066,call_minus_fold,201,-0.32363185979177345,0.8457180713273313
repeat-new minus first-new,162,A8s,0.002854096463089066,raise_minus_fold,201,-1.1005991499610195,1.1072993714984238
repeat-new minus first-new,162,A8s,0.002854096463089066,raise_minus_call,201,-0.7769672901692459,1.315213175476257
